,Date/Time,plot,Average Above PAR,Average Below PAR,TAU,Lead Area Index,Leaf Distribution,Beam Fraction,Zenith,Latitude,Longitude
SUM,7/18/2018 14:34,BS42A,1761.7,187.4,0.105,5.4,1,0.87,27°,46°,-85°
SUM,7/18/2018 14:41,BS42C,1761.9,294.7,0.166,4.49,1,0.87,27°,46°,-85°
SUM,7/18/2018 15:04,RPL01,1739.1,137.8,0.078,5.71,1,0.87,29°,46°,-85°
SUM,7/18/2018 15:11,RPL03,1735.8,188.9,0.108,5.19,1,0.88,30°,46°,-85°
SUM,7/18/2018 15:22,RPL02,1736.9,244.3,0.139,4.56,1,0.89,32°,46°,-85°
SUM,7/19/2018 13:24,BS40F,1666.6,210.3,0.119,4.68,1,0.83,25°,46°,-85°
SUM,7/19/2018 13:27,BS40E,1637.8,178.4,0.108,4.83,1,0.82,25°,46°,-85°
SUM,7/19/2018 13:29,BS40X,1712.4,244.4,0.142,4.74,1,0.84,25°,46°,-85°
SUM,7/19/2018 14:04,CP1,1743.6,111.2,0.063,6.95,1,0.85,25°,46°,-85°
SUM,7/19/2018 14:07,CP2,1763.4,368.8,0.207,4.93,1,0.86,25°,46°,-85°
SUM,7/19/2018 14:12,CP3,1723.3,199.5,0.114,6.05,1,0.85,26°,46°,-85°
SUM,7/19/2018 14:39,RPLOLD1,1861.9,331.3,0.177,4.14,1,0.91,27°,46°,-85°
SUM,7/24/2018 16:44,RPLOLD1A,1305.5,169.3,0.129,3.63,1,0.83,44°,46°,-85°
SUM,7/24/2018 16:49,RPLOLD2,1187.8,83,0.068,4.26,1,0.78,45°,46°,-85°
SUM,43309.47495,DNR1987-2,1449.3,98.5,0.067,4.76,1,0.84,40,46,-85
SUM,43309.47957,DNR1987-3,1454.4,125.7,0.086,4.54,1,0.83,39,46,-85
SUM,43309.48491,DNR1987-1,1488.7,225.7,0.149,3.89,1,0.85,38,46,-85
SUM,43309.49956,RPL10,1488.9,259.6,0.173,3.45,1,0.82,35,46,-85
SUM,43309.5024,RPL11,1435.8,116.9,0.08,4.77,1,0.79,34,46,-85
SUM,43309.50492,RPL12,1487.6,189.5,0.126,4.28,1,0.81,34,46,-85
SUM,43309.56119,AC107,1672.4,268.7,0.16,3.98,1,0.84,27,46,-85
